Date,Time,Home,Away,Home LINE,Away LINE,Home Win,Away Win,Pick,Pick value,BH Away,BH Home,Away%,Home%,Away Team,Away Edge,Home Team,Home Edge,Risk,Result,Result Unit,Away Team,Home Team,MP Away,,,,MP Home,MP Away,MP Home,MP Away Edge,MP Home edge,Team,Risk,Result,
11/18/2018,1:05 PM,New York Islanders,Dallas Stars,-108,-102,52.16%,47.84%,New York Islanders -108,2.66%,-102,-108,50.50%,51.92%,Dallas Stars,-2.66%,New York Islanders,0.24%,,,,,,,,,,,,,,,,,,
11/18/2018,5:05 PM,Carolina Hurricanes,New Jersey Devils,-169,152,55.31%,44.69%,New Jersey Devils 152,5.19%,152,-169,39.68%,62.83%,New Jersey Devils,5.01%,Carolina Hurricanes,-7.52%,125,L,-5.01,,,,,,,,,,,,,,,
11/18/2018,6:05 PM,Chicago Blackhawks,Minnesota Wild,-117,106,50.02%,49.98%,Minnesota Wild 106,0.98%,106,-117,48.54%,53.92%,Minnesota Wild,1.44%,Chicago Blackhawks,-3.90%,,,,,,,,,,,,,,,,,,
11/18/2018,8:05 PM,Edmonton Oilers,Vegas Golden Knights,102,-113,52.32%,47.68%,Edmonton Oilers 102,3.52%,-113,102,53.05%,49.50%,Vegas Golden Knights,-5.37%,Edmonton Oilers,2.82%,,L,,,,,,,,,,,,,,,,
11/19/2018,7:05 PM,New York Rangers,Dallas Stars,-103,-107,58.50%,41.50%,New York Rangers -103,5.20%,-107,-103,51.69%,50.74%,Dallas Stars,-10.19%,New York Rangers,7.76%,194,W,7.76,,,,,,,,,,,,,,,
11/19/2018,7:05 PM,Pittsburgh Penguins,Buffalo Sabres,-161,145,58.91%,41.09%,Buffalo Sabres 145,0.59%,145,-161,40.82%,61.69%,Buffalo Sabres,0.27%,Pittsburgh Penguins,-2.78%,,,,,,,,,,,,,,,,,,
11/19/2018,7:05 PM,Toronto Maple Leafs,Columbus Blue Jackets,-138,125,59.05%,40.95%,Toronto Maple Leafs -138,4.25%,125,-138,44.44%,57.98%,Columbus Blue Jackets,-3.49%,Toronto Maple Leafs,1.07%,,,,,,,,,,,,,,,,,,
11/19/2018,7:35 PM,Ottawa Senators,Florida Panthers,117,-129,37.83%,62.17%,Florida Panthers -129,4.57%,-129,117,56.33%,46.08%,Florida Panthers,5.84%,Ottawa Senators,-8.25%,146,W,5.84,,,,,,,,,,,,,,,
11/19/2018,7:35 PM,Montreal Canadiens,Washington Capitals,-125,113,56.40%,43.60%,Montreal Canadiens -125,2.30%,113,-125,46.95%,55.56%,Washington Capitals,-3.35%,Montreal Canadiens,0.84%,,,,,,,,,,,,,,,,,,
11/19/2018,8:05 PM,Nashville Predators,Tampa Bay Lightning,-144,130,51.33%,48.67%,Tampa Bay Lightning 130,2.97%,130,-144,43.48%,59.02%,Tampa Bay Lightning,5.19%,Nashville Predators,-7.69%,130,L,-5.19,,,,,,,,,,,,,,,
11/19/2018,8:05 PM,St. Louis Blues,Los Angeles Kings,-155,140,60.96%,39.04%,St. Louis Blues -155,1.16%,140,-155,41.67%,60.78%,Los Angeles Kings,-2.63%,St. Louis Blues,0.18%,,,,,,,,,,,,,,,,,,
11/19/2018,9:05 PM,Calgary Flames,Vegas Golden Knights,-145,131,61.04%,38.96%,Calgary Flames -145,2.74%,131,-145,43.29%,59.18%,Vegas Golden Knights,-4.33%,Calgary Flames,1.86%,,,,,,,,,,,,,,,,,,
11/19/2018,10:05 PM,Vancouver Canucks,Winnipeg Jets,168,-187,34%,66%,Winnipeg Jets -187,1%,-187,168,65.16%,37.31%,Winnipeg Jets,0.84%,Vancouver Canucks,-3.31%,,,,,,,,,,,,,,,,,,
11/20/2018,10:35 PM,San Jose Sharks,Edmonton Oilers,-185,166,65.74%,34.26%,San Jose Sharks -185,0.84%,166,-185,37.59%,64.91%,Edmonton Oilers,-3.33%,San Jose Sharks,0.83%,,,,,,,,,,,,,,,,,,
11/21/2018,7:05 PM,Pittsburgh Penguins,Dallas Stars,-180,162,55.01%,44.99%,Dallas Stars 162,3.69%,162,-180,38.17%,64.29%,Dallas Stars,6.82%,Pittsburgh Penguins,-9.28%,171,L,-6.82,,,,,,,,,,,,,,,
11/21/2018,7:05 PM,Washington Capitals,Chicago Blackhawks,-133,120,60.29%,39.71%,Washington Capitals -133,1.79%,120,-133,45.45%,57.08%,Chicago Blackhawks,-5.74%,Washington Capitals,3.21%,80,W,3.21,,,,,,,,,,,,,,,
11/21/2018,7:05 PM,New Jersey Devils,Montreal Canadiens,-135,122,55.05%,44.95%,Montreal Canadiens 122,1.25%,122,-135,45.05%,57.45%,Montreal Canadiens,-0.10%,New Jersey Devils,-2.40%,,,,,,,,,,,,,,,,,,
11/21/2018,7:05 PM,Carolina Hurricanes,Toronto Maple Leafs,-107,-103,47.85%,52.15%,Toronto Maple Leafs -103,1.65%,-103,-107,50.74%,51.69%,Toronto Maple Leafs,1.41%,Carolina Hurricanes,-3.84%,,,,,,,,,,,,,,,,,,
11/21/2018,7:05 PM,New York Rangers,New York Islanders,100,-110,59.15%,40.85%,New York Rangers 100,4.85%,-110,100,52.38%,50.00%,New York Islanders,-11.53%,New York Rangers,9.15%,229,W,9.15,,,,,,,,,,,,,,,
11/21/2018,7:35 PM,Detroit Red Wings,Boston Bruins,102,-113,43.65%,56.35%,Boston Bruins -113,0.75%,-113,102,53.05%,49.50%,Boston Bruins,3.30%,Detroit Red Wings,-5.85%,82,L,-3.73,,,,,,,,,,,,,,,
11/21/2018,7:35 PM,Tampa Bay Lightning,Florida Panthers,-152,137,62.67%,37.33%,Tampa Bay Lightning -152,0.97%,137,-152,42.19%,60.32%,Florida Panthers,-4.86%,Tampa Bay Lightning,2.35%,,W,,,,,,,,,,,,,,,,
11/21/2018,8:05 PM,Minnesota Wild,Ottawa Senators,-265,235,73.17%,26.83%,Minnesota Wild -265,2.17%,235,-265,29.85%,72.60%,Ottawa Senators,-3.02%,Minnesota Wild,0.57%,,,,,,,,,,,,,,,,,,
11/21/2018,9:05 PM,Arizona Coyotes,Vegas Golden Knights,102,-113,52.20%,47.80%,Arizona Coyotes 102,4.40%,-113,102,53.05%,49.50%,Vegas Golden Knights,-5.25%,Arizona Coyotes,2.70%,,L,,,,,,,,,,,,,,,,
11/21/2018,10:05 PM,Calgary Flames,Winnipeg Jets,-113,102,46.80%,53.20%,Winnipeg Jets 102,2.50%,102,-113,49.50%,53.05%,Winnipeg Jets,3.70%,Calgary Flames,-6.25%,92,L,-3.7,,,,,,,,,,,,,,,
11/21/2018,10:05 PM,Anaheim Ducks,Vancouver Canucks,-152,137,55.48%,44.52%,Vancouver Canucks 137,2.82%,137,-152,42.19%,60.32%,Vancouver Canucks,2.33%,Anaheim Ducks,-4.84%,,L,,,,,,,,,,,,,,,,
11/23/2018,1:05 PM,Philadelphia Flyers,New York Rangers,-158,143,58.55%,41.45%,New York Rangers 143,0.45%,143,-158,41.15%,61.24%,New York Rangers,0.30%,Philadelphia Flyers,-2.69%,,,,,,,,,,,,,,,,,,
11/23/2018,4:05 PM,New Jersey Devils,New York Islanders,-162,146,67.30%,32.70%,New Jersey Devils -162,4.30%,146,-162,40.65%,61.83%,New York Islanders,-7.95%,New Jersey Devils,5.47%,137,L,-8.86,,,,,,,,,,,,,,,
11/23/2018,4:05 PM,Buffalo Sabres,Montreal Canadiens,-130,118,59.63%,40.37%,Buffalo Sabres -130,2.93%,118,-130,45.87%,56.52%,Montreal Canadiens,-5.50%,Buffalo Sabres,3.11%,78,W,3.11,,,,,,,,,,,,,,,
11/23/2018,4:05 PM,Minnesota Wild,Winnipeg Jets,-108,-102,47.99%,52.01%,Winnipeg Jets -102,3.71%,-102,-108,50.50%,51.92%,Winnipeg Jets,1.51%,Minnesota Wild,-3.93%,,,,,,,,,,,,,,,,,,
11/23/2018,4:05 PM,Washington Capitals,Detroit Red Wings,-195,175,66.06%,33.94%,Washington Capitals -195,1.16%,175,-195,36.36%,66.10%,Detroit Red Wings,-2.42%,Washington Capitals,-0.04%,,,,,,,,,,,,,,,,,,
11/23/2018,4:05 PM,Anaheim Ducks,Edmonton Oilers,-105,-105,43.47%,56.53%,Edmonton Oilers -105,2.63%,-105,-105,51.22%,51.22%,Edmonton Oilers,5.31%,Anaheim Ducks,-7.75%,133,L,-5.58,,,,,,,,,,,,,,,
11/23/2018,6:05 PM,Vegas Golden Knights,Calgary Flames,-137,124,52.33%,47.67%,Calgary Flames 124,1.57%,124,-137,44.64%,57.81%,Calgary Flames,3.03%,Vegas Golden Knights,-5.48%,76,L,-3.03,,,,,,,,,,,,,,,
11/23/2018,7:05 PM,Columbus Blue Jackets,Toronto Maple Leafs,-129,117,49.55%,50.45%,Toronto Maple Leafs 117,4.55%,117,-129,46.08%,56.33%,Toronto Maple Leafs,4.37%,Columbus Blue Jackets,-6.78%,109,L,-4.37,,,,,,,,,,,,,,,
11/23/2018,7:35 PM,Boston Bruins,Pittsburgh Penguins,108,-119,51.01%,48.99%,Boston Bruins 108,1.51%,-119,108,54.34%,48.08%,Pittsburgh Penguins,-5.35%,Boston Bruins,2.93%,,W,,,,,,,,,,,,,,,,
11/23/2018,7:35 PM,Carolina Hurricanes,Florida Panthers,-152,137,62.36%,37.64%,Carolina Hurricanes -152,3.16%,137,-152,42.19%,60.32%,Florida Panthers,-4.55%,Carolina Hurricanes,2.04%,,W,,,,,,,,,,,,,,,,
11/23/2018,8:05 PM,Dallas Stars,Ottawa Senators,-179,161,66.44%,33.56%,Dallas Stars -179,4.14%,161,-179,38.31%,64.16%,Ottawa Senators,-4.75%,Dallas Stars,2.28%,,W,,,,,,,,,,,,,,,,
11/23/2018,8:05 PM,Arizona Coyotes,Colorado Avalanche,-102,-108,47.10%,52.90%,Colorado Avalanche -108,0.50%,-108,-102,51.92%,50.50%,Colorado Avalanche,0.98%,Arizona Coyotes,-3.40%,,,,,,,,,,,,,,,,,,
11/23/2018,9:05 PM,San Jose Sharks,Vancouver Canucks,-295,260,74.30%,25.70%,San Jose Sharks -295,0.60%,260,-295,27.78%,74.68%,Vancouver Canucks,-2.08%,San Jose Sharks,-0.38%,,,,,,,,,,,,,,,,,,
11/24/2018,2:10 PM,New York Rangers,Washington Capitals,102,-113,42.80%,57.20%,Washington Capitals -113,3.30%,-113,102,53.05%,49.50%,Washington Capitals,4.15%,New York Rangers,-6.70%,104,W,4.15,,,,,,,,,,,,,,,
11/24/2018,7:05 PM,New York Islanders,Carolina Hurricanes,115,-127,42.22%,57.78%,Carolina Hurricanes -127,2.58%,-127,115,55.95%,46.51%,Carolina Hurricanes,1.83%,New York Islanders,-4.29%,,,,,,,,,,,,,,,,,,
11/24/2018,7:05 PM,Pittsburgh Penguins,Columbus Blue Jackets,-135,122,53.86%,46.14%,Columbus Blue Jackets 122,1.14%,122,-135,45.05%,57.45%,Columbus Blue Jackets,1.09%,Pittsburgh Penguins,-3.59%,,,,,,,,,,,,,,,,,,
11/24/2018,7:05 PM,Florida Panthers,Chicago Blackhawks,-153,138,63.12%,36.88%,Florida Panthers -153,2.62%,138,-153,42.02%,60.47%,Chicago Blackhawks,-5.14%,Florida Panthers,2.65%,,L,,,,,,,,,,,,,,,,
11/24/2018,7:05 PM,St. Louis Blues,Winnipeg Jets,111,-123,44.47%,55.53%,Winnipeg Jets -123,0.33%,-123,111,55.16%,47.39%,Winnipeg Jets,0.37%,St. Louis Blues,-2.92%,,,,,,,,,,,,,,,,,,
11/24/2018,7:05 PM,Montreal Canadiens,Boston Bruins,-103,-107,44.15%,55.85%,Boston Bruins -107,4.35%,-107,-103,51.69%,50.74%,Boston Bruins,4.16%,Montreal Canadiens,-6.59%,104,W,4.16,,,,,,,,,,,,,,,
11/24/2018,7:10 PM,Toronto Maple Leafs,Philadelphia Flyers,-135,122,59.36%,40.64%,Toronto Maple Leafs -135,0.36%,122,-135,45.05%,57.45%,Philadelphia Flyers,-4.41%,Toronto Maple Leafs,1.91%,,,,,,,,,,,,,,,,,,
11/24/2018,9:05 PM,Colorado Avalanche,Dallas Stars,-174,157,63.04%,36.96%,Colorado Avalanche -174,0.64%,157,-174,38.91%,63.50%,Dallas Stars,-1.95%,Colorado Avalanche,-0.46%,,,,,,,,,,,,,,,,,,
11/24/2018,10:05 PM,Vegas Golden Knights,San Jose Sharks,-109,-101,44.57%,55.43%,San Jose Sharks -101,1.33%,-101,-109,50.25%,52.15%,San Jose Sharks,5.18%,Vegas Golden Knights,-7.58%,130,L,-5.23,,,,,,,,,,,,,,,
11/24/2018,10:05 PM,Los Angeles Kings,Vancouver Canucks,-190,171,62.44%,37.56%,Vancouver Canucks 171,0.96%,171,-190,36.90%,65.52%,Vancouver Canucks,0.66%,Los Angeles Kings,-3.08%,,,,,,,,,,,,,,,,,,
11/25/2018,3:05 PM,Arizona Coyotes,Calgary Flames,-106,-104,44.11%,55.89%,Calgary Flames -104,1.79%,-104,-106,50.98%,51.46%,Calgary Flames,4.91%,Arizona Coyotes,-7.35%,123,W,4.91,,,,,,,,,,,,,,,
11/25/2018,7:05 PM,Tampa Bay Lightning,New Jersey Devils,-171,154,63.12%,36.88%,Tampa Bay Lightning -171,0.72%,154,-171,39.37%,63.10%,New Jersey Devils,-2.49%,Tampa Bay Lightning,0.02%,,,,,,,,,,,,,,,,,,
11/25/2018,8:05 PM,Nashville Predators,Anaheim Ducks,-230,205,70.07%,29.93%,Nashville Predators -230,0.37%,205,-230,32.79%,69.70%,Anaheim Ducks,-2.86%,Nashville Predators,0.37%,,,,,,,,,,,,,,,,,,
11/26/2018,7:05 PM,Florida Panthers,New Jersey Devils,-130,118,49.60%,50.40%,New Jersey Devils 118,4.90%,118,-130,45.87%,56.52%,New Jersey Devils,4.53%,Florida Panthers,-6.92%,113,L,-4.53,,,,,,,,,,,,,,,
11/26/2018,7:05 PM,Toronto Maple Leafs,Boston Bruins,-155,140,51.77%,48.23%,Boston Bruins 140,4.93%,140,-155,41.67%,60.78%,Boston Bruins,6.56%,Toronto Maple Leafs,-9.01%,164,L,-6.56,,,,,,,,,,,,,,,
11/26/2018,7:05 PM,New York Rangers,Ottawa Senators,-128,116,61.98%,38.02%,New York Rangers -128,2.18%,116,-128,46.30%,56.14%,Ottawa Senators,-8.28%,New York Rangers,5.84%,146,W,5.84,,,,,,,,,,,,,,,
11/26/2018,7:05 PM,New York Islanders,Washington Capitals,100,-110,47.18%,52.82%,Washington Capitals -110,2.62%,-110,100,52.38%,50.00%,Washington Capitals,0.44%,New York Islanders,-2.82%,,,,,,,,,,,,,,,,,,
11/26/2018,7:35 PM,Detroit Red Wings,Columbus Blue Jackets,131,-145,39.17%,60.83%,Columbus Blue Jackets -145,0.83%,-145,131,59.18%,43.29%,Columbus Blue Jackets,1.65%,Detroit Red Wings,-4.12%,,,,,,,,,,,,,,,,,,
11/27/2018,7:05 PM,Buffalo Sabres,San Jose Sharks,120,-133,46.40%,53.60%,Buffalo Sabres 120,1.60%,-133,120,57.08%,45.45%,San Jose Sharks,-3.48%,Buffalo Sabres,0.95%,,,,,,,,,,,,,,,,,,
11/27/2018,7:05 PM,Philadelphia Flyers,Ottawa Senators,-219,196,60.89%,39.11%,Ottawa Senators 196,4.01%,196,-219,33.78%,68.65%,Ottawa Senators,5.33%,Philadelphia Flyers,-7.76%,133,W,10.44,,,,,,,,,,,,,,,
11/27/2018,7:35 PM,Montreal Canadiens,Carolina Hurricanes,-100,-110,54.30%,45.70%,Montreal Canadiens -100,5.30%,-110,-100,52.38%,50.00%,Carolina Hurricanes,-6.68%,Montreal Canadiens,4.30%,108,L,-4.3,,,,,,,,,,,,,,,
11/27/2018,8:05 PM,Minnesota Wild,Arizona Coyotes,-204,183,66.75%,33.25%,Minnesota Wild -204,0.75%,183,-204,35.34%,67.11%,Arizona Coyotes,-2.09%,Minnesota Wild,-0.36%,,,,,,,,,,,,,,,,,,
11/27/2018,8:05 PM,Nashville Predators,Colorado Avalanche,-163,147,51.66%,48.34%,Colorado Avalanche 147,4.44%,147,-163,40.49%,61.98%,Colorado Avalanche,7.85%,Nashville Predators,-10.32%,196,W,11.55,,,,,,,,,,,,,,,
11/27/2018,8:05 PM,Winnipeg Jets,Pittsburgh Penguins,-139,126,60.75%,39.25%,Winnipeg Jets -139,1.95%,126,-139,44.25%,58.16%,Pittsburgh Penguins,-5.00%,Winnipeg Jets,2.59%,,L,,,,,,,,,,,,,,,,
11/27/2018,8:05 PM,Chicago Blackhawks,Vegas Golden Knights,112,-124,40.48%,59.52%,Vegas Golden Knights -124,3.02%,-124,112,55.36%,47.17%,Vegas Golden Knights,4.16%,Chicago Blackhawks,-6.69%,104,W,4.16,,,,,,,,,,,,,,,
11/27/2018,9:05 PM,Edmonton Oilers,Dallas Stars,-134,121,62.49%,37.51%,Edmonton Oilers -134,5.09%,121,-134,45.25%,57.26%,Dallas Stars,-7.74%,Edmonton Oilers,5.23%,131,W,5.23,,,,,,,,,,,,,,,
11/27/2018,10:05 PM,Vancouver Canucks,Los Angeles Kings,-113,102,52.39%,47.61%,Vancouver Canucks -113,0.89%,102,-113,49.50%,53.05%,Los Angeles Kings,-1.89%,Vancouver Canucks,-0.66%,,,,,,,,,,,,,,,,,,
11/28/2018,7:05 PM,Florida Panthers,Anaheim Ducks,-169,152,63.45%,36.55%,Florida Panthers -169,1.95%,152,-169,39.68%,62.83%,Anaheim Ducks,-3.13%,Florida Panthers,0.62%,,,,,,,,,,,,,,,,,,
11/28/2018,7:05 PM,Detroit Red Wings,St. Louis Blues,111,-123,52.34%,47.66%,Detroit Red Wings 111,3.54%,-123,111,55.16%,47.39%,St. Louis Blues,-7.50%,Detroit Red Wings,4.95%,124,W,4.95,,,,,,,,,,,,,,,
11/28/2018,7:35 PM,Toronto Maple Leafs,San Jose Sharks,-162,146,63.95%,36.05%,Toronto Maple Leafs -162,3.65%,146,-162,40.65%,61.83%,San Jose Sharks,-4.60%,Toronto Maple Leafs,2.12%,,W,,,,,,,,,,,,,,,,
11/28/2018,9:05 PM,Calgary Flames,Dallas Stars,-197,177,68.28%,31.72%,Calgary Flames -197,2.18%,177,-197,36.10%,66.33%,Dallas Stars,-4.38%,Calgary Flames,1.95%,,,,,,,,,,,,,,,,,,
11/28/2018,9:35 PM,Colorado Avalanche,Pittsburgh Penguins,-113,102,55.38%,44.62%,Colorado Avalanche -113,0.88%,102,-113,49.50%,53.05%,Pittsburgh Penguins,-4.88%,Colorado Avalanche,2.33%,,W,,,,,,,,,,,,,,,,
11/29/2018,7:05 PM,Boston Bruins,New York Islanders,-160,144,63.98%,36.02%,Boston Bruins -160,1.88%,144,-160,40.98%,61.54%,New York Islanders,-4.96%,Boston Bruins,2.44%,,W,,,,,,,,,,,,,,,,
11/29/2018,7:05 PM,Columbus Blue Jackets,Minnesota Wild,-118,107,58.33%,41.67%,Columbus Blue Jackets -118,3.83%,107,-118,48.31%,54.13%,Minnesota Wild,-6.64%,Columbus Blue Jackets,4.20%,105,W,4.2,,,,,,,,,,,,,,,
11/29/2018,7:35 PM,Ottawa Senators,New York Rangers,-107,-103,48%,52%,New York Rangers -103,2%,-103,-107,50.74%,51.69%,New York Rangers,1.26%,Ottawa Senators,-3.69%,,,,,,,,,,,,,,,,,,
11/29/2018,7:35 PM,Tampa Bay Lightning,Buffalo Sabres,-189,170,57.14%,42.86%,Buffalo Sabres 170,4.26%,170,-189,37.04%,65.40%,Buffalo Sabres,5.82%,Tampa Bay Lightning,-8.26%,146,L,-5.82,,,,,,,,,,,,,,,
11/29/2018,8:05 PM,Winnipeg Jets,Chicago Blackhawks,-200,180,68.88%,31.12%,Winnipeg Jets -200,0.98%,180,-200,35.71%,66.67%,Chicago Blackhawks,-4.59%,Winnipeg Jets,2.21%,,W,,,,,,,,,,,,,,,,
11/29/2018,8:05 PM,Nashville Predators,Arizona Coyotes,-223,199,70.36%,29.64%,Nashville Predators -223,0.66%,199,-223,33.44%,69.04%,Arizona Coyotes,-3.80%,Nashville Predators,1.32%,,,,,,,,,,,,,,,,,,
11/29/2018,9:05 PM,Edmonton Oilers,Los Angeles Kings,-160,144,59.91%,40.09%,Edmonton Oilers -160,0.41%,144,-160,40.98%,61.54%,Los Angeles Kings,-0.89%,Edmonton Oilers,-1.63%,,,,,,,,,,,,,,,,,,
11/29/2018,10:05 PM,Vancouver Canucks,Vegas Golden Knights,157,-174,37.81%,62.19%,Vegas Golden Knights -174,2.19%,-174,157,63.50%,38.91%,Vegas Golden Knights,-1.31%,Vancouver Canucks,-1.10%,,,,,,,,,,,,,,,,,,
11/30/2018,7:05 PM,Florida Panthers,Buffalo Sabres,-148,134,57.69%,42.31%,Buffalo Sabres 134,0.61%,134,-148,42.74%,59.68%,Buffalo Sabres,-0.43%,Florida Panthers,-1.99%,,,,,,,,,,,,,,,,,,
11/30/2018,7:05 PM,Washington Capitals,New Jersey Devils,-145,140,62.13%,37.87%,Washington Capitals -145,1.63%,140,-145,41.67%,59.18%,New Jersey Devils,-3.80%,Washington Capitals,2.95%,,W,,,,,,,,,,,,,,,,
11/30/2018,7:35 PM,Carolina Hurricanes,Anaheim Ducks,-170,153,65.71%,34.29%,Carolina Hurricanes -170,1.01%,153,-170,39.53%,62.96%,Anaheim Ducks,-5.24%,Carolina Hurricanes,2.75%,,L,,,,,,,,,,,,,,,,
12/1/2018,1:05 PM,Ottawa Senators,San Jose Sharks,160,-178,36.84%,63.16%,San Jose Sharks -178,1.16%,-178,160,64.03%,38.46%,San Jose Sharks,-0.87%,Ottawa Senators,-1.62%,,,,,,,,,,,,,,,,,,
12/1/2018,4:05 PM,Vancouver Canucks,Dallas Stars,108,-119,41.30%,58.70%,Dallas Stars -119,3.10%,-119,108,54.34%,48.08%,Dallas Stars,4.36%,Vancouver Canucks,-6.78%,109,W,4.36,,,,,,,,,,,,,,,
12/1/2018,7:05 PM,New York Islanders,Columbus Blue Jackets,120,-133,42.77%,57.23%,Columbus Blue Jackets -133,1.83%,-133,120,57.08%,45.45%,Columbus Blue Jackets,0.15%,New York Islanders,-2.68%,,,,,,,,,,,,,,,,,,
12/1/2018,7:05 PM,Boston Bruins,Detroit Red Wings,-190,171,66.41%,33.59%,Boston Bruins -190,0.41%,171,-190,36.90%,65.52%,Detroit Red Wings,-3.31%,Boston Bruins,0.89%,,,,,,,,,,,,,,,,,,
12/1/2018,7:05 PM,Florida Panthers,Tampa Bay Lightning,126,-139,40.86%,59.14%,Tampa Bay Lightning -139,0.94%,-139,126,58.16%,44.25%,Tampa Bay Lightning,0.98%,Florida Panthers,-3.39%,,,,,,,,,,,,,,,,,,
12/1/2018,7:05 PM,New Jersey Devils,Winnipeg Jets,116,-128,41.25%,58.75%,Winnipeg Jets -128,1.85%,-128,116,56.14%,46.30%,Winnipeg Jets,2.61%,New Jersey Devils,-5.05%,,W,,,,,,,,,,,,,,,,
12/1/2018,7:05 PM,Pittsburgh Penguins,Philadelphia Flyers,-180,162,65.60%,34.40%,Pittsburgh Penguins -180,1.10%,162,-180,38.17%,64.29%,Philadelphia Flyers,-3.77%,Pittsburgh Penguins,1.31%,,,,,,,,,,,,,,,,,,
12/1/2018,7:05 PM,Montreal Canadiens,New York Rangers,-185,166,66.66%,33.34%,Montreal Canadiens -185,3.66%,166,-185,37.59%,64.91%,New York Rangers,-4.25%,Montreal Canadiens,1.75%,,,,,,,,,,,,,,,,,,
12/1/2018,7:05 PM,Minnesota Wild,Toronto Maple Leafs,-113,102,46.45%,53.55%,Toronto Maple Leafs 102,1.85%,102,-113,49.50%,53.05%,Toronto Maple Leafs,4.05%,Minnesota Wild,-6.60%,101,W,4.13,,,,,,,,,,,,,,,
12/1/2018,8:05 PM,Nashville Predators,Chicago Blackhawks,-220,197,69.40%,30.60%,Nashville Predators -220,0.60%,197,-220,33.67%,68.75%,Chicago Blackhawks,-3.07%,Nashville Predators,0.65%,,,,,,,,,,,,,,,,,,
12/1/2018,8:05 PM,Arizona Coyotes,St. Louis Blues,-138,125,59.15%,40.85%,Arizona Coyotes -138,2.85%,125,-138,44.44%,57.98%,St. Louis Blues,-3.59%,Arizona Coyotes,1.17%,,,,,,,,,,,,,,,,,,
12/1/2018,10:05 PM,Edmonton Oilers,Vegas Golden Knights,102,-113,42.52%,57.48%,Vegas Golden Knights -113,4.38%,-113,102,53.05%,49.50%,Vegas Golden Knights,4.43%,Edmonton Oilers,-6.98%,111,L,-5,,,,,,,,,,,,,,,
12/2/2018,3:05 PM,Washington Capitals,Anaheim Ducks,-190,171,65.44%,34.56%,Washington Capitals -190,0.54%,171,-190,36.90%,65.52%,Anaheim Ducks,-2.34%,Washington Capitals,-0.08%,,,,,,,,,,,,,,,,,,
12/2/2018,6:05 PM,New York Rangers,Winnipeg Jets,131,-145,39.06%,60.94%,Winnipeg Jets -145,1.64%,-145,131,59.18%,43.29%,Winnipeg Jets,1.76%,New York Rangers,-4.23%,,,,,,,,,,,,,,,,,,
12/2/2018,7:05 PM,Montreal Canadiens,San Jose Sharks,102,-113,54.60%,45.40%,Montreal Canadiens 102,4.60%,-113,102,53.05%,49.50%,San Jose Sharks,-7.65%,Montreal Canadiens,5.10%,127,L,-5.1,,,,,,,,,,,,,,,
12/2/2018,7:05 PM,Chicago Blackhawks,Calgary Flames,120,-133,40.59%,59.41%,Calgary Flames -133,0.61%,-133,120,57.08%,45.45%,Calgary Flames,2.33%,Chicago Blackhawks,-4.86%,,W,,,,,,,,,,,,,,,,
12/3/2018,7:05 PM,New Jersey Devils,Tampa Bay Lightning,113,-125,43.15%,56.85%,Tampa Bay Lightning -125,0.35%,-125,113,55.56%,46.95%,Tampa Bay Lightning,1.29%,New Jersey Devils,-3.80%,,,,,,,,,,,,,,,,,,
12/3/2018,8:05 PM,Nashville Predators,Buffalo Sabres,-169,152,57.34%,42.66%,Buffalo Sabres 152,2.86%,152,-169,39.68%,62.83%,Buffalo Sabres,2.98%,Nashville Predators,-5.49%,,L,,,,,,,,,,,,,,,,
12/3/2018,8:35 PM,Dallas Stars,Edmonton Oilers,-127,115,48%,52%,Edmonton Oilers 115,4%,115,-127,46.51%,55.95%,Edmonton Oilers,5.49%,Dallas Stars,-7.95%,137,L,-5.49,,,,,,,,,,,,,,,
12/4/2018,7:05 PM,Columbus Blue Jackets,Calgary Flames,-135,122,47.87%,52.13%,Calgary Flames 122,4.93%,122,-135,45.05%,57.45%,Calgary Flames,7.08%,Columbus Blue Jackets,-9.58%,177,W,8.64,,,,,,,,,,,,,,,
12/4/2018,7:05 PM,Pittsburgh Penguins,Colorado Avalanche,-135,122,53.97%,46.03%,Colorado Avalanche 122,0.33%,122,-135,45.05%,57.45%,Colorado Avalanche,0.98%,Pittsburgh Penguins,-3.48%,,,,,,,,,,,,,,,,,,
12/4/2018,7:05 PM,New York Islanders,Winnipeg Jets,116,-128,41.79%,58.21%,Winnipeg Jets -128,1.91%,-128,116,56.14%,46.30%,Winnipeg Jets,2.07%,New York Islanders,-4.51%,,W,,,,,,,,,,,,,,,,
12/4/2018,7:05 PM,Florida Panthers,Boston Bruins,-120,109,48.01%,51.99%,Boston Bruins 109,2.49%,109,-120,47.85%,54.55%,Boston Bruins,4.14%,Florida Panthers,-6.54%,104,L,-4.14,,,,,,,,,,,,,,,
12/4/2018,7:35 PM,Montreal Canadiens,Ottawa Senators,-185,166,67.03%,32.97%,Montreal Canadiens -185,2.33%,166,-185,37.59%,64.91%,Ottawa Senators,-4.62%,Montreal Canadiens,2.12%,,W,,,,,,,,,,,,,,,,
12/4/2018,10:05 PM,Vegas Golden Knights,Washington Capitals,-155,140,54.36%,45.64%,Washington Capitals 140,2.14%,140,-155,41.67%,60.78%,Washington Capitals,3.97%,Vegas Golden Knights,-6.42%,99,L,-3.97,,,,,,,,,,,,,,,
