Date,Time,Home,Away,Home LINE,Away LINE,Home Win,Away Win,Pick,Pick value,BH Away,BH Home,Away%,Home%,Away Team,Away Edge,Home Team,Home Edge,Risk,Result,Result Unit,Away Team,Home Team,MP Away,,,,MP Home,MP Away,MP Home,MP Away Edge,MP Home edge,Team,Risk,Result,
10/6/2018,8:05 PM,St. Louis Blues,Chicago Blackhawks,-174,157,66.33%,33.67%,St. Louis Blues -174,2.83%,157,-174,38.91%,63.50%,Chicago Blackhawks,-5.24%,St. Louis Blues,2.83%,,L,,,,,,,,,7%,2-Mar,7.41,7.45,14.86,,,
10/6/2018,8:05 PM,Minnesota Wild,Vegas Golden Knights,-129,117,48.88%,51.12%,Vegas Golden Knights 117,2.32%,117,-129,46.08%,56.33%,Vegas Golden Knights,5.04%,Minnesota Wild,-7.45%,126,W,5.89,,,,,,,,8%,4-May,12.57,8.76,21.32,,,
10/6/2018,9:05 PM,Arizona Coyotes,Anaheim Ducks,102,-113,45.01%,54.99%,Anaheim Ducks -113,1.29%,-113,102,53.05%,49.50%,Anaheim Ducks,1.94%,Arizona Coyotes,-4.49%,,,,,,,,,,,Total,25 - 24,1.43,41.73,43.16,1079,,
10/6/2018,9:05 PM,Colorado Avalanche,Philadelphia Flyers,-110,100,54.70%,45.30%,Colorado Avalanche -110,2.80%,100,-110,50.00%,52.38%,Philadelphia Flyers,-4.70%,Colorado Avalanche,2.32%,,W,,,,,,,,,Win%,51.02%,,,,,,
10/6/2018,10:05 PM,Calgary Flames,Vancouver Canucks,-208,186,70.28%,29.72%,Calgary Flames -208,2.68%,186,-208,34.97%,67.53%,Vancouver Canucks,-5.25%,Calgary Flames,2.75%,,W,,,,,,,,,,,,,,,,
10/7/2018,5:05 PM,Carolina Hurricanes,New York Rangers,-200,180,59.16%,40.84%,New York Rangers 180,5.14%,180,-200,35.71%,66.67%,New York Rangers,5.13%,Carolina Hurricanes,-7.51%,128,L,-5.13,,,,,,,,,,,,,,,
10/7/2018,7:05 PM,Chicago Blackhawks,Toronto Maple Leafs,123,-136,40.34%,59.66%,Toronto Maple Leafs -136,1.36%,-136,123,57.63%,44.84%,Toronto Maple Leafs,2.03%,Chicago Blackhawks,-4.50%,,W,,,,,,,,,,,,,,,,
10/7/2018,10:35 PM,Los Angeles Kings,Detroit Red Wings,-185,166,65.45%,34.55%,Los Angeles Kings -185,1.15%,166,-185,37.59%,64.91%,Detroit Red Wings,-3.04%,Los Angeles Kings,0.54%,,,,,,,,,,,,,,,,,,
10/8/2018,1:05 PM,New York Islanders,San Jose Sharks,159,-176,35.68%,64.32%,San Jose Sharks -176,2.32%,-176,159,63.77%,38.61%,San Jose Sharks,0.55%,New York Islanders,-2.93%,,,,,,,,,,,,,,,,,,
10/8/2018,10:05 PM,Anaheim Ducks,Detroit Red Wings,-202,181,67.58%,32.42%,Anaheim Ducks -202,1.58%,181,-202,35.59%,66.89%,Detroit Red Wings,-3.17%,Anaheim Ducks,0.69%,,,,,,,,,,,,,,,,,,
10/9/2018,7:05 PM,Columbus Blue Jackets,Colorado Avalanche,-157,142,52.10%,47.90%,Colorado Avalanche 142,4.80%,142,-157,41.32%,61.09%,Colorado Avalanche,6.58%,Columbus Blue Jackets,-8.99%,164,L,-6.58,,,,,,,,,,,,,,,
10/9/2018,7:10 PM,Philadelphia Flyers,San Jose Sharks,-120,109,46.46%,53.54%,San Jose Sharks 109,3.74%,109,-120,47.85%,54.55%,San Jose Sharks,5.69%,Philadelphia Flyers,-8.09%,142,W,6.21,,,,,,,,,,,,,,,
10/9/2018,7:05 PM,Carolina Hurricanes,Vancouver Canucks,-196,176,70.40%,29.60%,Carolina Hurricanes -196,4.30%,176,-196,36.23%,66.22%,Vancouver Canucks,-6.63%,Carolina Hurricanes,4.18%,105,W,4.18,,,,,,,,,,,,,,,
10/9/2018,8:10 PM,Nashville Predators,Calgary Flames,-156,141,62.14%,37.86%,Nashville Predators -156,1.24%,141,-156,41.49%,60.94%,Calgary Flames,-3.63%,Nashville Predators,1.20%,,,,,,,,,,,,,,,,,,
10/9/2018,8:05 PM,Winnipeg Jets,Los Angeles Kings,-192,173,68.36%,31.64%,Winnipeg Jets -192,2.86%,173,-192,36.63%,65.75%,Los Angeles Kings,-4.99%,Winnipeg Jets,2.61%,,W,,,,,,,,,,,,,,,,
10/9/2018,8:35 PM,Dallas Stars,Toronto Maple Leafs,-121,110,49.27%,50.73%,Toronto Maple Leafs 110,1.93%,110,-121,47.62%,54.75%,Toronto Maple Leafs,3.11%,Dallas Stars,-5.48%,78,W,3.42,,,,,,,,,,,,,,,
10/10/2018,7:35 PM,Ottawa Senators,Philadelphia Flyers,125,-138,43.09%,56.91%,Philadelphia Flyers -138,0.81%,-138,125,57.98%,44.44%,Philadelphia Flyers,-1.07%,Ottawa Senators,-1.35%,,,,,,,,,,,,,,,,,,
10/10/2018,8:05 PM,Washington Capitals,Vegas Golden Knights,-141,128,53.51%,46.49%,Vegas Golden Knights 128,2.39%,128,-141,43.86%,58.51%,Vegas Golden Knights,2.63%,Washington Capitals,-5.00%,,L,,,,,,,,,,,,,,,,
10/10/2018,10:05 PM,Anaheim Ducks,Arizona Coyotes,-152,137,62.06%,37.94%,Anaheim Ducks -152,1.26%,137,-152,42.19%,60.32%,Arizona Coyotes,-4.25%,Anaheim Ducks,1.74%,,,,,,,,,,,,,,,,,,
10/11/2018,7:05 PM,Pittsburgh Penguins,Vegas Golden Knights,-199,179,60.32%,39.68%,Vegas Golden Knights 179,3.28%,179,-199,35.84%,66.56%,Vegas Golden Knights,3.84%,Pittsburgh Penguins,-6.24%,96,L,-3.84,,,,,,,,,,,,,,,
10/11/2018,7:05 PM,Florida Panthers,Columbus Blue Jackets,-136,123,51.79%,48.21%,Columbus Blue Jackets 123,4.11%,123,-136,44.84%,57.63%,Columbus Blue Jackets,3.37%,Florida Panthers,-5.84%,84,W,4.14,,,,,,,,,,,,,,,
